Speaker,About,Sentence
Monica,Chandler,"Of course not. I mean gosh, Chandler what you did, it's, it's a wonderful thing and I really appreciate it. I know I have this weird thing where I want everything to be in the perfect place, but I'd never expect you to worry about that."
Chandler,Monica,Well Monica just told me that they don
Janine,Chandler,Are you guys going to Chandler
Janine,Chandler,"No, but you should go to Chandler"
Phoebe,Monica,"Wow, that sounds great! And what are you making Monica, in case Rachel"
Phoebe,Rachel,"Wow, that sounds great! And what are you making Monica, in case Rachel"
Rachel,Monica,"Wow, Monica, I love that, you really have faith in me. Thank you. Technical question, how do you know when uh, the butter"
Monica,Chandler,"Dad, Chandler was just laughing at your joke."
Chandler,Ross,"Yeah, Ross sure is a great guy, y"
Rachel,Joey,"Joey, God, your apartment is like a hundred degrees!"
Phoebe,Rachel,Rachel?
Monica,Chandler,"Mom, uh, Chandler was just saying how beautiful your sweater is."
Chandler,Ross,Your parents caught Ross smoking pot in college and he blamed it on me!
Monica,Ross,"Ross, I can"
Rachel,Joey,Joey! Come on! I don
Monica,Ross,"Ross, if you don"
Joey,Ross,Ross! Can I talk to you for a second?
Ross,Joey,"Oh, uh, can it wait a second Joey? I have to tell my parents something. No it can"
Joey,Rachel,"Okay, look, I think we have to tell Rachel she messed up her dessert."
Rachel,Ross,"Oh no. No Ross, don"
Rachel,Ross,"I thought this might happen today. Ross, I know the holidays can be rough. Y"
Joey,Rachel,"Rachel, there you are! Come on, let"
Rachel,Joey,"Joey, you"
Rachel,Monica,"Alright, Monica, I want you to have the first taste."
Phoebe,Rachel,"Rachel, come here. "
Rachel,Phoebe,"Oh, Phoebe, do I wanna hear this?"
Monica,Ross,Ross? Let
Ross,Chandler,Well I told you it was Chandler who was smoking the pot but it was me. I
Monica,Ross,Ross hasn
Ross,Chandler,Monica and Chandler are living together!
Ross,Monica,Monica and Chandler are living together!
Monica,Rachel,Ross married Rachel in Vegas! And got divorced! Again!!!!
Monica,Ross,Ross married Rachel in Vegas! And got divorced! Again!!!!
Monica,Ross,Oh my God! We love that show! I mean Ross and I have been watching it since I can remember!
Rachel,Ross,"Yeah, but she also invited you and Ross. Yeah, honey, I"
Joey,Ross,Ross! So when is it gonna air?
Phoebe,Chandler,"Yeah, Chandler why don"
Rachel,Monica,We are looking for our Christmas presents from Monica.
Rachel,Don,Don
Rachel,Chandler,"Chandler, aren"
Rachel,Chandler,"Chandler, that"
Chandler,Joey,I couldn't find anything at Joey
Phoebe,Chandler,Ohhh. Thanks Chandler they're great!
Rachel,Chandler,"Well Chandler, what is this very weird, metal A Z thing?"
Rachel,Joey,"Yes, okay, oh, by the way, I just gotta say, I think it's really nice of you that even after you've moved, you still keep storing that stuff for Joey!"
Monica,Ross,"Ross, we haven"
Monica,Ross,"Ross, I think we should stick to the routine, we don"
Chandler,Monica,"Oh, the duck seems to think that Monica got me garbage! Hmm, I wonder what I could get Monica that"
Monica,Chandler,"Hey guys! You found the presents? Chandler, you let them find the presents? Great! Do you know how long it took me to find you that water purifier?"
Janine,Joey,Joey.
Janine,Joey,"Joey, you don"
Rachel,Don,Yeah. Don
Rachel,Monica,Monica look! Look
Monica,Phoebe,"Rach, Phoebe hates "
Rachel,Phoebe,Phoebe hates 
Monica,Chandler,"I am so glad you guys got together, Chandler and I are always looking for a couple to go out with and now we have one!"
Joey,Chandler,And Chandler I can
Monica,Joey,"Joey, you don"
Monica,Tom,Tomorrow!
Rachel,Phoebe,Ross! Phoebe
Rachel,Ross,Ross! Phoebe
Ross,Phoebe,What? No! No! I am not gonna hide it from Phoebe
Rachel,Ross,"Ross, get over it! It"
Rachel,Ross,"Ross, she"
Rachel,Phoebe,"Ooh, Phoebe"
Phoebe,Ross,"You bought your sheets at a flea market? Ross come on, you gotta loosen the purse strings a little."
Monica,Joey,Joey! Why is Janine not coming over for dinner?!
Phoebe,Ross,"Ross, where did you get this?!"
Rachel,Phoebe,"Oh my God, Phoebe, "
Phoebe,Ross,"Oh Ross, calm down, I"
Monica,Chandler,"Chandler, would you like some more orange juice?"
Ross,Rachel,"Hmm, a lot of this stuff is from Colonial times. Hey, what are some other time periods Rachel? "
Phoebe,Ross,Well at least I got these sheets for Ross.
Rachel,Ross,"Well then honey, buy the lamp! Hey, we have that 60 bucks from Ross."
Monica,Don,Don
Monica,Joey,"Well, I know that would make Joey happy, so, I would like that too."
Chandler,Dan,"Yes, I did. I told it to Dan at work, and he said it was the funniest joke he"
Ross,Dan,"Hey, tell Dan, "
Chandler,Monica,"Monica, you remember me telling you that joke, right?"
Ross,Chandler,"Look, Chandler, it"
Chandler,Monica,"Nah, Monica"
Joey,Chandler,"Chandler, Chandler, y"
Chandler,Joey,"Joey, why is your cable out?"
Joey,Chandler,"No, Chandler. Look, forget about it, okay? Look, I know things have been a little tight since Janine moved out. Oh, was she hot. "
Joey,Ross,"I know! Yeah, but, look I can handle it. All right? Look, I can listen to the radio, huh? And Ross gave me this great book "
Phoebe,Rachel,Rachel.
Joey,Gunther,"Ah, Gunther, I can"
Chandler,Rachel,"You know who else picked Rachel? Ross, and you know what else Ross did? He stole my joke. You know what? I"
Chandler,Ross,"You know who else picked Rachel? Ross, and you know what else Ross did? He stole my joke. You know what? I"
Chandler,Rachel,Picking Rachel.
Rachel,Monica,"Monica, what are you doing?"
Phoebe,Rachel,Fine. The reason that I was leaning a little bit more toward Rachel than you is just that you
Phoebe,Rachel,"Ya, you know, Rachel "
Joey,Ross,"Hey Ross, listen, you want anything to drink, "
Monica,Joey,"Joey, what are you doing?"
Rachel,Joey,"Joey, honey, I don"
Gunther,Don,Don
Monica,Joey,"Joey, do you work here?"
Monica,Joey,"Joey, what"
Rachel,Joey,"Come on, Joey, I did it and it was fine."
Ross,Joey,"Yeah, why would it be weird? Hey, Joey, can I get some coffee?"
Ross,Joey,"Joey, seriously, can I get my coffee?"
Rachel,Phoebe,Phoebe. We would like to talk to you for a second.
Monica,Rachel,"So, maybe I am a little high maintenance. And maybe Rachel is a little bit of a pushover. But you know what we decided you are?"
Rachel,Phoebe,"Yes, we are very sorry to tell you this, but you, Phoebe, are flaky."
Joey,Gunther,"Hey, Gunther. Can you uh, can you cover for me? I just got an audition."
Ross,Monica,Monica! 
Monica,Chandler,"Okay, Chandler, you go first."
Monica,Chandler,"Hi, Chandler. There you are."
Monica,Chandler,"Wait, wait, he came up with that himself. Tell them, Chandler."
Monica,Chandler,"Look, I am not high maintenance. I am not. Chandler!"
Joey,Gunther,"Well, I had the audition but Gunther said I had to stay here and be in charge so he could go get his hair dyed. So, I went anyway, and then he fired me."
Rachel,Joey,"Joey, you can"
Chandler,Joey,Joey! 
Joey,Chandler,"Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together that"
Joey,Ross,"Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together that"
Woman,Joey,"Oh great! Well, tell him thanks. And since uh, Joey seems like such a nice guy, maybe we could go on a date sometime?"
Ross,Joey,"Hey Joey, how come our stuff isn"
Phoebe,Joey,Yeah Joey that is so gross!
Woman,Rachel,"Hi, is Rachel here? I"
Jill,Rachel,"Oh my God, Rachel!"
Rachel,Chandler,This is Chandler. 
Rachel,Monica,And you know Monica and Ross!
Rachel,Ross,And you know Monica and Ross!
Rachel,Don,Don
Gunther,Jen,"Okay, here are the tips for this morning. Jen gets 50, 50 for me, and Joey owes eight dollars."
Gunther,Joey,"Okay, here are the tips for this morning. Jen gets 50, 50 for me, and Joey owes eight dollars."
Chandler,Don,Don
Rachel,Ross,With Ross and Jill?
Rachel,Ross,With Ross and my sister?
Jill,Ross,Me go out with Ross?! No! God no! What would make you think that?
Rachel,Phoebe,"I just, Phoebe, said y"
Rachel,Ross,"No! No I, no Ross is not a geek!"
Jill,Ross,"This is where Ross and I are meeting for our date. So, what do you think? "
Ross,Rachel,"Rachel! Well, you"
Monica,Ross,"God, Ross is on a date with your sister! How weird is that?!"
Rachel,Ross,Ross is on a date with my sister and they shut the drapes two and a
Monica,Joey,Joey we know you steal our food.
Chandler,Joey,Joey
Rachel,Ross,"Oh Ross, hi! Hey, how are ya? There you are!"
Rachel,Ross,Ross thanks.
Monica,Chandler,Chandler there
Phoebe,Chandler,Oh Chandler!
Joey,Gunther,"Hey Gunther, don"
Rachel,Ross,"No honey, okay, okay, you wanna know why Ross canceled the date? Because I asked him to."
Rachel,Ross,Because you are my sister and Ross and I have this huge history
Rachel,Bob,"All right, all right, well you just blew your chances at dating Bob!"
Ross,Phoebe,"Hey! Uh, Phoebe"
Chandler,Phoebe,Phoebe Buffay in Buffay
Joey,Phoebe,No! Hey no! This is wrong you guys! Phoebe
Jill,Rachel,"Rachel and I had a really big fight, can I come in? I"
Jill,Ross,"Oh great! Thanks Ross, you"
Rachel,Ross,"Well, is Ross home? Maybe I"
Rachel,Ross,Ross! I think she is trying to make something happen with you to get back at me!
Rachel,Ross,"Ross, I am telling you that she is using you to get back at me!"
Joey,Ross,"Oh sorry, I hear divorce I immediately go to Ross. "
Ross,Monica,"No, I just think Monica was that fat."
Rachel,Monica,"Ohh, of course Monica"
Rachel,Don,But! Don
Joey,Monica,"So Monica, still going out with Dr. Boring huh?"
Monica,Joey,Maybe Joey doesn
Monica,Chandler,"No Joey! Chandler could be your assistant! See, he could answer all of your fan mail and stuff!"
Monica,Joey,"No Joey! Chandler could be your assistant! See, he could answer all of your fan mail and stuff!"
Monica,Phoebe,Hey Phoebe! Guess what?
Monica,Chandler,Joey just hired Chandler to be his assistant!
Monica,Joey,Joey just hired Chandler to be his assistant!
Chandler,Phoebe,"Phoebe, are you having a heart attack?! "
Monica,Chandler,"Hey Joey, Chandler sold a story to "
Monica,Joey,"Hey Joey, Chandler sold a story to "
Rachel,Joey,"Oh Mon, listen I have to ask! Okay, Joey Tribbiani invited me back to his apartment, now does he do this with a lot of girls?"
Rachel,Monica,Monica. You
Monica,Rachel,Rachel! I
Monica,Phoebe,"Phoebe, why is smoke coming out of the bathroom?!"
Monica,Phoebe,Phoebe! Put that cigarette out!
Chandler,Phoebe,"Listen Phoebe, he"
Chandler,Roger,With Roger? 
Chandler,Roger,"Well good, good for you. You really think that Roger is the perfect guy?"
Monica,Chandler,"Chandler, I"
Rachel,Joey,"Joey, you"
Rachel,Joey,Wow! Tell me something Joey
Monica,Chandler,Chandler?
Joey,Rachel,"Rachel, would you stop saying that?! Hey"
Joey,Ross,"Huh. But still Ross, you"
Chandler,Don,Oh yeah! Yeah! Don
Jack,Phoebe,Phoebe?
Jack,Phoebe,"Uh, Phoebe you"
Rachel,Ross,Hi Ross!
Ross,Rachel,Hey Rachel.
Rachel,Joey,Is Joey Tribbiani here?
Monica,Dr. Roger,"Yeah, come on, eat, whatever you want. Dr. Roger got beeped again."
Monica,Roger,"Yeah, come on, eat, whatever you want. Dr. Roger got beeped again."
Chandler,Roger,"Yeah! When you were talking about Roger, that was killing me! Look, things like last night they don"
Monica,Chandler,Chandler!
Ross,Don,"Oh, wait! Wait! Don"
Phoebe,Joey,"Ooh, Joey, that"
Phoebe,Ross,Ross!!!
Rachel,Phoebe,"Definitely! Phoebe, you will not find a single game show host, who"
Chandler,Monica,"Come on Monica, it"
Phoebe,Ross,Why is Ross doing that?
Joey,Chandler,Hey Chandler! Y
Chandler,Dan,"Oh yeah, Dana Keystone. She was in my Movement class."
Chandler,Dana Keystone,"Oh yeah, Dana Keystone. She was in my Movement class."
Monica,Joey,Joey! He
Rachel,Phoebe,"Okay Phoebe calm down, there"
Joey,Chandler,"Chandler, is that"
Rachel,Monica,"I did, Monica was so sweet she left a little mint on my pillow."
Phoebe,Monica,Thanks Monica!
Phoebe,Joey,What the smell from Joey
Monica,Ross,"Well Ross, you be careful now. You don"
Joey,Ross,"Well Ross, it seems pretty clear. I mean what"
Monica,Joey,Joey that is so sweet.
Chandler,Dan,"Uh, Dana Keystone from college."
Chandler,Dana Keystone,"Uh, Dana Keystone from college."
Chandler,Dan,"No, that was Dana Caplin."
Monica,Joey,Joey! You didn
Rachel,Joey,"Oh, Joey! Sorry!"
Rachel,Joey,I love it at Joey
Phoebe,Chandler,"Okay. Oh umm, Chandler, Monica is looking for you."
Phoebe,Monica,"Okay. Oh umm, Chandler, Monica is looking for you."
Rachel,Phoebe,"No! No! Phoebe, come on! I don"
Phoebe,Monica,No but at Monica
Rachel,Joey,"Hi Joey, how ya doin"
Chandler,Joey,"Well, of course I do! My good friend Joey over here. "
Elizabeth,Ross,Bye Ross.
Monica,Chandler,"Chandler, do you think we talk about our relationship enough?"
Phoebe,Rachel,"Okay, I just thought of the perfect guy for Rachel to take to her thing."
Phoebe,Chandler,"Oh, Chandler funny?"
Chandler,Joey,"Joey, I "
Ross,Joey,"Joey, I did not break this! Okay? "
Joey,Chandler,"All right. Chandler, do you remember how I told you about our fridge?"
Elizabeth,Ross,"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I"
Phoebe,Rachel,"Rachel, what the hell is this?!"
Monica,Chandler,Yes! We found you a really cute and funny guy from Chandler
Sebastian,Rachel,"Look, I just wanted to have coffee with Rachel."
Monica,Rachel,"All right guys stop it. Rachel, we"
Phoebe,Ross,"Ross, you can"
Elizabeth,Ross,"Ross, are you okay?"
Chandler,Tom,"Tomorrow night is good. Tomorrow night is good, but uh, y"
Monica,Rachel,"Eldad, this is Rachel."
Monica,Rachel,Rachel! Rachel! You haven
Phoebe,Rachel,Rachel? Patrick is really rich. 
Elizabeth,Ross,"Ross, it"
Phoebe,Rachel,"Rachel, we"
Joey,Ross,I just got this really weird message from Ross. He said turn on 
Phoebe,Don,Don
Rachel,Joey,"Joey, what are you talking about? You"
Joey,Chandler,How could you do this to me Chandler?! This part could
Chandler,Joey,Joey's tailor...took advantage of me.
Rachel,Chandler,Of course he will! But Chandler the most important thing is you forgive yourself!
Joey,Chandler,Look at me! I'm Chandler! Could I 
Chandler,Joey,"Joey? Got you a Joey Special, "
Joey,Ross,"Ross, you don"
Rachel,Chandler,"Okay, Chandler!"
Phoebe,Joey,"No! Joey, you"
Phoebe,Rachel,"Oh, Rachel and I have appointments to get our hair cut."
Elizabeth,Paul Stevens,"This is my father, Paul Stevens. Dad, this is Ross Geller."
Elizabeth,Ross,"This is my father, Paul Stevens. Dad, this is Ross Geller."
Paul,Ross,"So Ross, what your problem?"
Monica,Ross,Ross!!
Chandler,Ross,Ross!
Elizabeth,Monica,"So uh, Monica is Ross"
Elizabeth,Ross,"So uh, Monica is Ross"
Chandler,Ross,"But uh Ross, Ross is a great guy! I was roommates with him in college. Uh, funny story"
Rachel,Ross,Oh! Ross is sooo great!
Rachel,Ross,"Paul. Umm, I just wanted you to know that Ross really is a great guy."
Ross,Joey,Joey?!
Paul,Ross,Hi Ross.
Ross,Joey,Joey?! Joey!! 
Rachel,Joey,"Ross, Joey is not here."
Rachel,Ross,"Ross, Joey is not here."
Rachel,Ross,"Ross, it"
Paul,Ross,Yeah Ross it
Rachel,Ross,"Ross, what"
Rachel,Ross,"Ross look, look this is good for you. Okay? Let"
Chandler,Joey,"So do you think uh, Joey"
Monica,Phoebe,"Phoebe, stop writing about us!"
Wayne,Don,Don
Rachel,Ross,"So it seemed that my prom date had stood me up, so Ross selflessly, offered to take me."
Paul,Ross,So Ross was in college and decided to jump at the chance to take a young girl to her high school prom.
Paul,Ross,"Ross, look, I know I"
Paul,Don,Don
Monica,Chandler,"Chandler, we said we would meet at the coffeehouse at six."
Wayne,Joey,"Hey Joey, I want to talk to you."
Wayne,Joey,"Joey, Joey, I"
Joey,Wayne,"Oh wow Wayne, it"
Rachel,Ross,"I mean if you think about it, I mean Ross did learn something from each marriage."
Paul,Ross,"Well, this is fun. So Ross, did you kill any of these wives?"
Paul,Ross,Neither of us like Ross!
Elizabeth,Ross,I like Ross.
Chandler,Ross,And I think Ross is generous too.
Joey,Chandler,Hey Ross listen Chandler got you out of going to the lesbian sandwich museum this weekend!
Joey,Ross,Hey Ross listen Chandler got you out of going to the lesbian sandwich museum this weekend!
Rachel,Ross,I mean Ross all that does is remind us that you are interested in fossils.
Ross,Rachel,"Okay, okay. Uh, well uh, Rachel is going to need to yell sweet nothings "
Chandler,Ross,Ross.
Paul,Ross,"Okay look, Ross, just so you know that since Lizzie likes you so much, I"
Rachel,Monica,"Monica, you should totally put your name down on the list"
Phoebe,Don,Don
Monica,Phoebe,"Phoebe, that stuff is"
Phoebe,Don,Don
Monica,Phoebe,Phoebe!
Monica,Chandler,Have you seen Chandler?!
Monica,Chandler,The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard! 
Phoebe,Rachel,Rachel said that!
Monica,Rachel,Well Rachel
Phoebe,Joey,Joey!
Elizabeth,Ross,Ross? Ross?
Paul,Ross,Ross!
Rachel,Ross,Oh my God Ross! What in heaven
Paul,Ross,Ross. You and I are going to have to have a little talk.
Paul,Ross,"Ross, let me show you where the guest room is."
Monica,Chandler,"Chandler, please don"
Chandler,Phoebe,"Phoebe and Rachel! So the people that knew about our wedding before me were you, Phoebe and Rachel, Heldi, and apparently some band called Starlight Magic 7 who are available by the way!"
Chandler,Rachel,"Phoebe and Rachel! So the people that knew about our wedding before me were you, Phoebe and Rachel, Heldi, and apparently some band called Starlight Magic 7 who are available by the way!"
Joey,Gunther,Hey Gunther.
Chandler,Monica,"Pheebs, can you help me pick out an engagement ring for Monica? I can"
Phoebe,Chandler,"Hey! So Chandler, wanna go to the coffeehouse? "
Paul,Phoebe,Hi Phoebe.
Paul,Ross,Ross! 
Ross,Phoebe,"Phoebe, why"
Phoebe,Ross,"Come on Ross, you"
Ross,Joey,"Wait a minute, is it because Joey and I didn"
Phoebe,Chandler,"Chandler, I"
Ross,Chandler,"Hey, remember how Chandler and Phoebe blew us off yesterday?"
Ross,Phoebe,"Hey, remember how Chandler and Phoebe blew us off yesterday?"
Ross,Chandler,"Okay. Well, apparently Chandler"
Paul,Rachel,Rachel?
Paul,Chandler,Hey Chandler?
Paul,Joey,Joey! 
Phoebe,Chandler,"Chandler, I found the perfect ring. "
Phoebe,Chandler,"Oh my God Chandler, the one you picked is gone. It"
Chandler,Phoebe,"Phoebe, I asked you to guard the ring!"
Paul,Rachel,"Oh Rachel, I"
Rachel,Chandler,Oh my God! Oh my God! Oh Chandler!! 
Ross,Chandler,Chandler
Chandler,Phoebe,Phoebe!
Rachel,Chandler,"Are any of you guys free tonight? My boss is hosting this charity event for underprivileged kids and the more people I bring, the better I look. So, Monica? Chandler?"
Rachel,Monica,"Are any of you guys free tonight? My boss is hosting this charity event for underprivileged kids and the more people I bring, the better I look. So, Monica? Chandler?"
Chandler,Rachel,I just get mad when Rachel doesn
Rachel,Ross,"Hey! Ross, listen can you come to a charity event tonight?"
Monica,Ross,"Ross let me ask you a question. All jokes aside, where is this relationship going?"
Rachel,Phoebe,"Someone? I brought people. Mr. Thompson, this is Phoebe. Phoebe, this is Mr. Thompson. "
Rachel,Joey,And I also brought my friend Joey
Rachel,Joey,Joey! It is an auction! You don
Rachel,Joey,Joey! Sit down! 
Monica,Chandler,"Chandler, wh"
Rachel,Phoebe,"Phoebe, don"
Rachel,Joey,"Joey! Joey, good one! "
Monica,Ross,"Oh Ross, sometimes grown"
Monica,Ross,"Look Ross, the only question you need to ask is, "
Joey,Rachel,"Rach! Rachel! Okay, the next highest bidder is at table one."
Rachel,Joey,But Joey you don
Waitress,Monica,"Hey Monica, there"
Joey,Chandler,"Hey uh, have you guys scene Chandler?"
Phoebe,Joey,Joey.
Rachel,Joey,Joey?!
Joey,Monica,Hey Monica!
Monica,Rachel,Have you seen Rachel? Or a mirror?
Joey,Chandler,Chandler giving you a hard time huh?
Joey,Chandler,"Well, you know Chandler."
Joey,Chandler,"Chandler is a complex fellow, one who is unlikely to take a wife."
Joey,Chandler,"Monica face it, Chandler is against marriage. And"
Joey,Monica,"Monica face it, Chandler is against marriage. And"
Joey,Chandler,Chandler 
Ross,Phoebe,Phoebe.
Rachel,Phoebe,Phoebe?! Wait a
Rachel,Joey,"Ross! I just had a conversation with her, and she said that she and Joey made a deal!"
Rachel,Ross,"Ross! I just had a conversation with her, and she said that she and Joey made a deal!"
Joey,Monica,Richard told Monica he wants to marry her!
Joey,Chandler,"Look, Chandler I don"
Richard,Monica,So Monica let me ask you a question. Y
Rachel,Joey,Phoebe! You picked Joey and Ross?! You can not have two backups!
Rachel,Phoebe,Phoebe! You picked Joey and Ross?! You can not have two backups!
Rachel,Ross,Phoebe! You picked Joey and Ross?! You can not have two backups!
Joey,Phoebe,Phoebe! We
Ross,Phoebe,"Phoebe, how could you do this to me?!"
Rachel,Phoebe,Phoebe you can
Joey,Rachel,"This is crazy! Hey look, I wanna switch to Rachel!"
Ross,Rachel,"Ooh, I wanna switch to Rachel too!"
Rachel,Phoebe,"Oh God, Phoebe!"
Richard,Chandler,Chandler.
Monica,Chandler,Chandler
Phoebe,Ross,"Oh no wait no, this is wrong! Ross isn"
Chandler,Monica,Monica and I are engaged.
Chandler,Monica,To Monica!
Monica,Phoebe,Phoebe!
Ross,Monica,Wow! Happy Monica
Joey,Don,Don
Monica,Phoebe,Phoebe! Come on! Let
Ross,Monica,"Okay, Monica. Mon, uh what"
Rachel,Phoebe,"Okay come on Phoebe, it"
Joey,Chandler,Oh my God! I cannot believe you guys are talking about this! The problems in the bedroom are between the man and the woman!!! All right?!! Now Chandler is doing the best he can!!
Phoebe,Chandler,"What a great night, Chandler can"
Phoebe,Chandler,"Well yeah, that and Chandler"
Joey,Monica,Monica
Rachel,Joey,"Joey, you are not! You"
Rachel,Monica,"Honey, Monica, this is ridiculous! Look"
Rachel,Monica,What do you think Monica mean when she said she didn
Chandler,Monica,"Now Monica, I know you"
Rachel,Monica,"Monica, what did you mean before when you said you didn"
Rachel,Monica,"Monica, what are you talking about?"
Rachel,Monica,"Monica, y"
Rachel,Monica,"Monica, your Sweet Sixteen was like a million years ago."
Rachel,Monica,"Ugh, Monica I don"
Monica,Ross,Oh please! Why else would you have made out with Ross?!
Ross,Rachel,"Uh, Rachel, I"
Rachel,Ross,Okay well Ross! Stop it please! Wait a minute! 
Rachel,Monica,"All right Monica, do you want to know why I was with Ross tonight?!"
Rachel,Ross,"All right Monica, do you want to know why I was with Ross tonight?!"
Rachel,Chandler,"Oh wait Chandler, too many cooks"
Phoebe,Ross,Hey! Ross!
Ross,Phoebe,"Phoebe, oh my God! Wh"
Ross,Phoebe,"Phoebe, you said it was urgent!"
Rachel,Joey,"Joey, there is a perfectly good couch across the hall!"
Rachel,Joey,"Now Joey, what did the duck do?!"
Ross,Phoebe,"Uh, Phoebe"
Phoebe,Ross,"Oh Ross, hi."
Ross,Phoebe,"Phoebe, what are you doing?"
Ross,Phoebe,Phoebe!
Ross,Phoebe,"Phoebe, you can"
Rachel,Joey,"Hey Joey, what "
Rachel,Joey,"Joey, did "
Rachel,Joey,"Joey, "
Rachel,Joey,"Joey, what"
Woman,Phoebe,"Hi, is uh Phoebe here?"
Monica,Chandler,What about when I started dating Chandler?
Phoebe,Chandler,"Wow, money and a firm hand. Finally a Chandler I can get on board with."
Phoebe,Arthur,"My massage client, Arthur? His daughter called and said that some guy that worked for me gave him a really weird massage this afternoon."
Joey,Chandler,"Eyes! No, no. Your eyes! No. Chandler"
Chandler,Don,Don
Rachel,Joey,"Joey, just ignore the boats all right? We"
Rachel,Tim,Time
Rachel,Don,Don
Joey,Chandler,I want to make a ship to shore call to Chandler.
Monica,Chandler,Oh my God Chandler! I can
Ross,Monica,"Oh, but he will. He still tells the story how Monica tried to escape from fat camp."
Joey,Rachel,"Well, lesson learned! Rachel is mean!"
Rachel,Joey,"Look Joey, I"
Rachel,Joey,"Okay Joey honey, you"
Rachel,Joey,"Okay Joey, we"
Rachel,Joey,"Joey, come on! We just went over this! "
Rachel,Joey,"Well Joey, I hate to admit it, your way of sailing is a lot more fun."
Monica,Phoebe,"Phoebe, do you think that your favorite animal says much about you?"
Rachel,Joey,Joey! Kinda in the middle of a story here!
Rachel,Joey,Joey!
Chandler,Ross,"So, Ross and I are going to "
Monica,Nancy,"Oh, Nancy Thompson from Phoebe"
Monica,Phoebe,"Oh, Nancy Thompson from Phoebe"
Rachel,Chandler,"Chandler, you have an assistant right?"
Joey,Terry,Hey Terry!
Monica,Ross,Ross!
Chandler,Nancy,Nancy Thompson
Ross,Chandler,"Well, Chandler and I are in a bar"
Ross,Chandler,"And this girl is making eyes at Chandler, okay? So after awhile he"
Chandler,Ross,"You wanna tell secrets?! Okay! Okay! In college, Ross used to wear leg warmers!"
Ross,Chandler,All right! All right! Chandler entered a Vanilla Ice look
Chandler,Ross,Ross came in forth and cried!
Ross,Monica,"Once Monica was sent to her room without dinner, so she ate the macaroni off a jewelry box she"
Monica,Ross,Ross used to stay up 
Ross,Monica,Monica couldn
Monica,Chandler,Chandler one time wore my underwear to work!
Ross,Chandler,"Ohh! Ohh! In college, Chandler got drunk and slept with the lady who cleaned our dorm!"
Rachel,Joey,"Joey, why would you do that?"
Tag,Rachel,Rachel Green
Tag,Rachel,Hi! Rachel Green
Rachel,Phoebe,"Yeah, this is Tag. Tag, this is Phoebe. Phoebe, can I see you for a second? "
Tag,Phoebe,Phoebe! That
Kathy,Rachel,Hey Rachel!
Joey,Terry,Hey! Terry.
Terry,Joey,Joey Tribbiani! I
Joey,Terry,Wait! Terry! Wait
Joey,Terry,"Wait! Terry! Please! Look, I just lost my other job. Okay? You have no idea how much I need this. Please, help me out, for old times sake."
Monica,Chandler,Chandler what do you say?
Chandler,Ross,"Yes, and we call Ross Lingers In The Bathroom."
Rachel,Phoebe,"Phoebe, if this guy"
Melissa,Rachel,Hey Rachel!
Monica,Chandler,"Chandler, listen to me sweetie, I know you can do this. Okay? You have a beautiful smile."
Rachel,Joey,Hi Joey! What are you doing here?
Rachel,Joey,"Joey, just"
Phoebe,Ginger,Hi Ginger.
Phoebe,Kyle,"All right, well I just wanted to say thank you though for diverting Kyle"
Ross,Whitney,Hi Whitney.
Whitney,Ross,Hi Ross! You ready for breakfast?
Rachel,Joey,"Hi Tag! Hey, so did you have fun with uh, with Joey last night?"
Rachel,Joey,Yeah and you had fun teaching him how to be all Joey.
Joey,Monica,"I know, Monica told me."
Tag,Joey,"Hey Joey, you wanted to talk to me?"
Tag,Rachel,"Oh, yeah, this is from Rachel."
Chandler,Joey,"Yeah, Joey said I uh, I needed to relax so he gave me an antihistamine."
Monica,Chandler,"Chandler, what were you thinking?"
Monica,Chandler,Chandler?
Tag,Rachel,Good morning Rachel.
Tag,Joey,Went out with Joey.
Whitney,Kyle,"Well, I went over to Kyle"
Ross,Kyle,Oh just say it Kyle!
Monica,Phoebe,"Well umm, I was thinking that maybe we could come up with a system where we trade of being maid of honor for each other. Like hypothetically, if Phoebe were mine"
Monica,Phoebe,If Phoebe were my maid of honor
Monica,Phoebe,Rachel would be Phoebe
Monica,Rachel,Rachel would be Phoebe
Ross,Joey,"Joey, we "
Chandler,Joey,"No, see the thing is I want to get out of here before Joey gets all worked up and starts calling everybody bitch."
Phoebe,Rachel,Hey Rachel?
Rachel,Phoebe,Oh my God Phoebe! I mean I
Rachel,Monica,Ohh! No way Phoebe! I want to be Monica
Rachel,Phoebe,Ohh! No way Phoebe! I want to be Monica
Rachel,Phoebe,Yeah but Phoebe
Rachel,Chandler,Better than Chandler. 
Chandler,Julie,"Julie Grath, my camp girlfriend."
Rachel,Monica,Phoebe is gonna be Monica
Rachel,Phoebe,Phoebe is gonna be Monica
Joey,Ross,"Oh uh, me and Ross can be the judges."
Joey,Ross,"Uh hey look uh Ross, look I think we need to talk about before."
Monica,Chandler,Chandler! 
Rachel,Monica,"Look Monica, getting cold feet is very common. Y"
